Opportunity_ID,Revenue,Cost,Margin,Close_Date
14,11039.8,7221.422357437282,3818.3776425627175,2023-07-06
17,40701.799999999996,26624.113526326633,14077.686473673362,2023-08-01
18,79997.90999999999,52328.72840289276,27669.18159710723,
19,16882.8,11043.481709464135,5839.318290535864,
20,31299.48,20473.80972917635,10825.670270823648,2024-03-30
22,27434.399999999998,17945.559658950104,9488.840341049894,2025-05-09
23,66407.47,43438.86560977967,22968.60439022033,2025-05-15
24,141586.56,92615.47762610149,48971.082373898505,2025-01-04
28,15083.900000000001,9866.774098928263,5217.125901071739,2026-01-24
31,9856.880000000001,6447.643399932645,3409.2366000673564,2025-01-13
38,262190.39,171505.60193583224,90684.78806416778,2025-11-28
39,112158.78000000001,73365.99589439026,38792.78410560975,2023-05-08
40,122918.79000000001,80404.40028398507,42514.389716014935,2026-01-18
42,8874.25,5804.879377840885,3069.3706221591146,2023-08-17
48,38666.94,25293.058299034943,13373.88170096506,2024-06-29
50,12645.53,8271.772411062146,4373.757588937855,2024-09-09
51,29896.559999999998,19556.123008973456,10340.436991026541,2025-10-10
52,167614.2,109640.83872026343,57973.36127973658,2024-06-26
53,118784.12000000001,77699.80433309599,41084.31566690402,2023-08-31
56,75181.70000000001,49178.31928568838,26003.38071431163,2023-06-25
58,20013.07,13091.073311016264,6921.996688983736,2023-07-26
61,25546.379999999997,16710.556321997556,8835.823678002442,2023-09-12
63,32681.92,21378.099944924426,11303.820055075572,2023-06-07
65,181117.96,118474.00185487341,62643.958145126584,2024-05-14
89,83883.54000000001,54870.42076640742,29013.119233592588,2025-09-17
93,28394.079999999998,18573.31148488766,9820.768515112337,2025-01-03
96,30219.699999999997,19767.49734732943,10452.202652670567,2024-10-27
99,19022.44,12443.07627937184,6579.363720628158,2025-06-20
100,34677.4,22683.39568269313,11994.00431730687,2023-12-15
103,36143.36,23642.318518171018,12501.041481828983,2025-06-18
107,443941.4,290393.69837786985,153547.70162213017,2023-10-09
114,5406.089999999999,3536.265076570057,1869.8249234299424,2024-09-10
115,12966.26,8481.570305290381,4484.689694709619,2025-08-15
120,117826.24,77073.22993430779,40753.010065692215,2024-10-23
125,187998.12,122974.49473035536,65023.62526964463,2024-08-21
127,37989.36,24849.835472448198,13139.524527551803,2025-03-06
132,80710.56,52794.891435106,27915.668564893997,2023-11-11
140,370302.66000000003,242224.66964460377,128077.99035539626,2025-01-24
141,11031.269999999999,7215.842661001754,3815.4273389982445,2023-05-09
144,241301.55000000002,157841.66452782392,83459.8854721761,2025-08-04
147,25579.879999999997,16732.469549499336,8847.410450500662,2024-07-11
148,5219.06,3413.923854490718,1805.1361455092824,2025-07-22
157,98243.34,64263.54208820019,33979.797911799804,2025-07-28
163,28842.45,18866.602046528646,9975.847953471355,2024-01-02
166,24416.899999999998,15971.733868304713,8445.166131695285,2024-04-29
169,38046.77,24887.3888572505,13159.381142749498,2024-11-02
171,260998.5,170725.95546636666,90272.54453363334,2024-07-11
177,23274.3,15224.3292789455,8049.970721054498,2026-01-17
179,73678.40000000001,48194.97137812344,25483.42862187657,2023-12-04
184,326201.1,213376.68404868155,112824.41595131843,2025-07-01
187,118282.56,77371.72079919172,40910.839200808274,2023-11-26
189,98240.12999999999,64261.44234311718,33978.68765688281,2023-07-15
193,285939.7,187040.6476982291,98899.05230177092,2026-02-02
195,43417.439999999995,28400.484784026135,15016.95521597386,2025-03-20
197,84621.59999999999,55353.2051452123,29268.394854787693,2024-09-08
200,5471.5599999999995,3579.0907184966695,1892.46928150333,2024-07-09
203,37272.5,24380.918568957874,12891.581431042126,2024-05-22
211,29169.34,19080.429358112433,10088.910641887567,2023-02-16
214,11719.2,7665.83569369726,4053.364306302741,2024-04-26
217,414113.16000000003,270882.2652704762,143230.89472952386,2026-06-26
218,59087.26,38650.5245025915,20436.735497408503,2025-03-08
222,117699.20000000001,76990.12974261149,40709.07025738852,2025-02-25
228,38782.1,25368.38747154554,13413.71252845446,2024-03-31
232,56741.600000000006,37116.166854178824,19625.433145821182,2023-05-19
235,43446.08,28419.218958224676,15026.861041775326,2024-08-29
236,23917.659999999996,15645.167907170726,8272.49209282927,
242,396528.88,259379.9271183867,137148.9528816133,2023-12-26
247,293027.27999999997,191676.8194288877,101350.46057111226,2024-06-26
248,8523.57,5575.490404099865,2948.0795959001343,2025-11-24
251,43632.55,28541.19386963533,15091.356130364671,2024-03-09
253,88198.88,57693.19769678147,30505.682303218535,
259,110903.20000000001,72544.68812762355,38358.51187237646,2026-02-14
260,66525.68,43516.18986718222,23009.490132817773,2024-12-14
269,250045.31999999998,163561.19351986083,86484.12648013915,2025-09-08
280,6594.7,4313.766012119028,2280.9339878809715,
282,44211.42,28919.84789960414,15291.572100395857,2024-09-05
285,36196.200000000004,23676.882546266363,12519.317453733642,2023-07-24
